Id,Interview,Prediction
,,
216," Yeah, but also bringing to that 40 years of socialization of being female, makes it really hard to know what are the rules, and how do you do this? __EOS__ Exactly. __EOS__ What's the hardest part? __EOS__ Beg your pardon? ",0
,,
217," We're speaking with actor Ewan McGregor. __EOS__ If you're just joining us, we're speaking with actor Ewan McGregor. One of your early successful films was ""Trainspotting,"" which was - you did with Danny Boyle, and a film, I guess about a group of heroin addicts in Scotland. And I thought we might listen to a piece of this. This is from kind of the opening of the film. Let's listen. __EOS__   Choose good health, low cholesterol and dental insurance. Choose fixed-interest mortgage repayments. Choose a starter home. Choose your friends. Choose leisure wear and matching luggage. Choose a three piece suite on hire purchase in a range of  fabrics. Choose DIY and wondering who the  you are on a Sunday morning. Choose sitting on that couch, watching mind-numbing spirit-crushing game shows, stuffing  junk food into your mouth. __EOS__ And that's my guest Ewan McGregor from the opening of the film ""Trainspotting."" That takes you back to earlier in your career. And we hear a very thick Scottish brogue there. Is that what you sounded like as a young man in Scotland? ",1
,,
218," There are cool suits available. It's an aftermarket product from the same manufacturer. Unfortunately, in New York, they told us it was only two months of summer of warm weather up here, so we didn't get them. But you - your time in that suit is probably looking at a 20-minute window, 22 minutes, before your body core temperature starts to rise and it becomes a health issue. __EOS__ So it's a little like going into a scuba dive, going underwater. __EOS__ Correct. __EOS__ And interesting, the armor in those suits - in reading the book - the armor is all in front, so you - even if you're backing away from a bomb, you back away from it. ",0
,,
219," We're really accessing brains all over the world. One of the beautiful uses of the Internet, at least, is in this way for music. We are sort of in touch - Einstein called it spooky action at a distance - with people all across the world. And they don't know they're working with you on your record. But there's some sort of resonance built up there, and that was something that really did turn us on. __EOS__ Jeff Mercel, where on this new CD can we hear a good example of what came out of this? __EOS__ Well, ""Dream of a Young Girl as a Flower,"" for example. It's all over the place from things like the vocals, as well as the drums and instrumentation. You'd find programs that do things as commonplace to a reverb or a delay, to other things that would have German names that you couldn't even pronounce, that they'd have knobs and buttons on them that you didn't even know what they were meant to do. And on some of these you couldn't tell if they were actually performing the way that they were meant to or if they were malfunctioning. And sometimes the malfunctioning ones were infinitely more interesting to us than the ones that were actually doing what they were meant to do. __EOS__ Let's listen. ",2
,,
220," Ah. __EOS__ My daughter has a behavioral - she has obsessive compulsive and defiance disorder. __EOS__ Which leads us to ask Dr. Jenike, is there a genetic element to that? __EOS__ Exactly. So I believeÉ_› ",0
,,
221," What is a secret, actually? And, you know, it's - because you have competing populations in the brain, if you have one part that wants to tell something and another part that does not want to because of maybe the social consequences of revealing something like this, that's a secret.__EOS__ Who is talking to whom here, right, because it's all you when you're angry at yourself.__EOS__ Don't eat it, you'll get fat. You'll have to go to the gym tomorrow and so on.__EOS__ So does doing research like this make you really self-conscious about the arguments that you're having within yourself?",0
,,
222," You also say, about the bedroom, that for a lot of people, the bedroom was the room. I mean, you basically had a room to live in, and it was the everything room.__EOS__ Yes. If you think of, you know, the basic medieval cottage, it's just one single space, it's used for everything  cooking; any leisure, which would be very limited; sleeping; the washing that did take place and probably working, as well.__EOS__ You know, one thing I kept wondering, reading your book ""If Walls Could Talk"" is how much of the history of the home, as you describe it, applies to America. And of course, in medieval times in the U.S., the population was Native American, and their home arrangements were different than England.__EOS__ I think it owes a lot to the European tradition, doesn't it? You can see - and in fact, some parts of European history survive in America where they don't in the U.K. For example, the Tudors invented a special new room in the house called the closet, and the closet is a lovely little room. It's richly decorated. It's private. It's off the bed chamber, and it was originally used for the storing of precious arts and treasures, and it was used for praying.",0
,,
223," Well, a writer, Nnedi Okorafor, who won the prize in 2011 - her book was called ""Who Fears Death."" Someone mentioned to her this poem that Lovecraft had written that was just incredibly racist. And she saw it and she became completely dismayed and hurt by the fact that this professional honor, which she had been so proud to receive, was in the shape of the head of a man who would think these kinds of things about someone like her.__EOS__ Nnedi Okorafor being a Nigerian-American writer.__EOS__ Yeah.__EOS__ And this poem is noxious. We couldn't say the title of it on the radio.",3
,,
224," I love the way you write about Mary Lincoln.__EOS__ Thank you, Scott.__EOS__ Years before children and the success he had as a corporate lawyer and the Civil War and the immense human suffering that in many ways they share in their family and the immense suffering of the war kind of complicated their lives. What brought Abe Lincoln and Mary Lincoln, as we might say high-born, together?__EOS__ Sex. See, people...",0
,,
225," Why pure escapism right now, why? __EOS__ Well, in this environment - of what's going on economically and with nature and things that happen, there needs to be some sort of escape, some sort of place that people can go to forget about their problems and to have joy, to have that pure joy. And it's not about having money, because some of the best memories that we've had are with family and friends when we didn't have any money. You always remember those memories. So it's about creating new memories for people, just bringing together people for music, for the love of music and for having a good time with their family and friends, because in the end, those are the things you remember. __EOS__  One Tribe, one time, one planet, one race. Its all one blood, don't care about your face. The color of your eye or the tone of your skin. Don't care where ya are. Don't care where ya been because where we going to go is where we want to be. The place where the little language is unity. And the continent is called Pangaea and the main ideas are connected like a spear. __EOS__ And just another question. What does it like right now? You're sort of at the pinnacle of success right now and that I would think that's a little extra - does it put extra pressure on you or you're enjoying it or do you feel pressured by it? ",2
,,
226," Oh, thank you, Robert.__EOS__ I should explain that 25 years ago, you were booking interviews for ALL THINGS CONSIDERED.__EOS__ That's right.__EOS__ I guess, about 25 years ago, the guys who made this film were young and living like there was no tomorrow.",1
,,
227," So let's get to this famous Stephen Sondheim letter.__EOS__ Before the show even started previewing, there was a feature story written in The New York Times about the show that quoted you and the writer and the director - you know, the writer who adapted it, and the director. And Stephen Sondheim wrote this, like, scathing letter in response. And you're not supposed to review a show before it opens. He said  I'm not reviewing the show.__EOS__ Mm-hmm.__EOS__ I'm just talking about what the creators of this adaptation said about the show.",3
,,
228," And we meet one family in particular who's interested in surrogacy to earn the money, well, not only to educate their son - they want him to be an officer in the Indian Army - but also to build a house. And interestingly, that is the same motivation for the woman from whom they get the eggs in this. And she is from Tennessee and we also meet her online. __EOS__ My name is Catherine Galleon. I'm 28 years old and I work through Egg Donation Incorporated, donating my eggs to couples that are not able to produce healthy children with the mother's eggs. I'm about 5'10. I weigh 130 pounds. I have brown hair and green eyes. I'm tall and fairly athletic. __EOS__ And she has donated eggs once and we see her go through the process of donating them again, indeed, injecting herself with the fertility drugs, at which moment she tells us, yes, essentially I'm being treated like a robot. __EOS__ Yes. In terms of, you know, when you take fertility drugs for the IVF treatment, is the doctors are - you know, even if you're a customarily reserved, the doctors are taking care of everything. ",1
,,
229," Finally, we stir in the herbs and take a taste. __EOS__ Mm. I'm sorry, I just love the basil, right? __EOS__ That's awesome, yeah. It's great. I think that might even be better than tarragon. What do you think? __EOS__ I love it. But you know what, I have one in the refrigerator because I had to make one before you all came and you can taste it with the tarragon and you've tasted this. So, I am happy that they didn't have tarragon at the store. ",3
,,
230," But I find it such a paradox in what you spelled out there. That you're the person who has like defied every convention in your life and in your art -the person who, you say, even you're a minority group, you're an outsider of. And, I mean, you turn that into an art and a career. And yet, you tried to get your psychiatrist to love you, and you say that every day in your life is a campaign for popularity. Isn't that a paradox? __EOS__ No. I think it's probably being a healthy neurotic - everything that I'm trying to be. __EOS__ A healthy neurotic, huh? __EOS__ Yeah. Only... ",0
,,
231," Is that a joke that's commonly made in Hollywood?__EOS__ No, I think in truth what it's about and why I like the joke is it's sort of got two - one aspect is yes, there I am, I'm the director. He's saying it to me. It has that kind of cuteness to it. But, really, it speaks to something that people don't often think about Hollywood, which is the kind of class hierarchy, that this above-the-line, this narrow strip of people - director, star, sort of prima donna, that kind of thing - and then the huge - they're sort of the icing, right - and then the huge bulk of the cake, who are all the workaday people, the lunch-pail folks who do that job.__EOS__ So as we heard, like the tone really shifts back and forth in the movie between, you know, drama, where everything is at stake, and comedy. And the comedy parts are, of course, in Hollywood, where this cover story is being created, and where real Hollywood and fake Hollywood collide and that parts of real Hollywood it's colliding with are sometimes, like, really cheap, like low-budgety parts.__EOS__ Yeah, low and B sci-fi stuff, yeah.",1
,,
232," Sure. Crystelle is a woman from West Philadelphia who grows up in a community where there is a lot of love, a strong sense of family where residents work very hard. __EOS__ You know, there have been so many books - Beloved comes to mind - that deal with that liminal space between life and death. What brought you in that direction? __EOS__ I'll tell you, I was sitting on a stoop in Washington D.C. It was 1988 or 1989. And as I was sitting there there were two young women who were walking past me, and one was talking to the other and she said to her girlfriend, I'm just going to go on and have his baby before he gets locked up or shot up or something. And her voice guided me to this story. __EOS__ You paint a picture of her being someone who has transcended the ghetto, so to speak. That is something that I don't think gets talked about enough, it's like what happens when you leave one situation, one understanding of what the black community is, and you move on to another one. ",0
,,
233, Sure.__EOS__ Would you really?__EOS__ Yeah.__EOS__ That's disgusting.,3
,,
234," So when you had the hit of ""Short Shorts,"" you were about 15. Were you exploited as a kid? Did people try to take advantage of you in the music industry?__EOS__ Well, I learned a very big lesson very early on. We found out when we changed - I think actually we acquired a big-time attorney after about six months in having some success in realizing we really didn't know what we were doing. And he did a search - which is standard for copyright search - and found out that the song ""Short Shorts"" was copyrighted under someone else's name, which turned out to be our managers.__EOS__ Whoa.__EOS__ That was the first awakening. You know, if we didn't get an attorney or have someone sharp, who knows where it would've gone because I don't know how long it is before you contest something, but I suspect we might have been screwed.",2
,,
235," The Beatles broke up. Led Zeppelin broke up. Jimi Hendrix even broke up his group and formed another group. Public Enemy broke up. It just -it happens. __EOS__ In the story Michael Rapaport tries to tell in his film, Tribe broke up because Q-Tip and Phife vied for control and credit. But the story the band tells is different. While they were in the studio, their world was changing. __EOS__ The largest difference between the hip-hop game now and back then is that people make songs. They don't do projects. We did projects. Notice I didn't even say album. We did projects. __EOS__ I just know about my group and why we came together. But the way I see it, as of right now, you don't see a lot of that because you have to split that money three, four ways. ",2
,,
236," They go to an academy called Top Gun where the Navy invites all of the best pilots so that they can compete and try to win this honor of being the top gun.__EOS__  Top Gun was created to teach ACM, air combat maneuvering, dogfighting.__EOS__ Cut to music.  Brana, pum-pum, pum-pum, pum, pum, pum, pum, pum. Heaven on the edge, living on the eyes, no. Right?__EOS__  The further on the edge, the hotter the intensity...",1
,,
237,"  The world's hard enough as it is, guys. Can't somebody say, hey, let's be positive? Let's have a good ending to the story?__EOS__  Pat, you owe us an apology.__EOS__ Mom, for what? I can't apologize. I'm not going to apologize for this. You know what I will do? I will apologize on the behalf of Ernest Hemingway.__EOS__  Yeah, have Ernest Hemingway call us and apologize to us, too.",1
,,
238," Yet, for example, for many years, Turkey was Israel's closest ally in the Middle East...__EOS__ Yes.__EOS__ ...in terms of cooperation.__EOS__ Right.",0
,,
239," In the book there are campaign posters, a vote for Oliver Watson is a vote for America, when you began to write the book, did you know that you wanted to include so many of these visual elements? __EOS__ I did. I did. Yeah. I kind of wanted to feel like a dossier, like, you know, there is transcripts of conversations and photographs taken from hidden cameras. I wanted to - it to feel it was a - this could have really happened. This is an actual file from an actual fat kid's actual secret lair. __EOS__ Adding the pages of pictures and stuff wasn't just a way to bump up the page count. __EOS__ It was absolutely not. I want people to think this kid could really exist. He's out there and he's plotting. ",0
,,
240,"  If someone was pushing you around, telling you what to do, what would you say?__EOS__  Step off?__EOS__   Step off! Step off! Step off! Step off! - everybody.__EOS__   Step off! Step off! Step off!",1
,,
241," It was still there. And it's fantastic for me to meet - or to hear your caller, who remembers these things from Chile. Because the thing about Dean Reed - because so few people in America or Europe knew who he was, the whole time I was researching it, every time I'd meet a person who actually had seen him or knew him it was, it gave it this fantastic reality for me. __EOS__ Mm-hmm. Tikay, do you remember any of his music? __EOS__ Well, what was important for me, as a musician, is that he was an American singer singing songs, for example, that weren't being sung by other American singers. I think he sang a lot of songs by Pete Seeger and probably  at that time. And so it was interesting to see somebody who looked so, quote, É__AmericanÉ_ù icon. He was blond and blue-eyes, tall and very, very muscled. Good looking, and then - but he was singing other types of songs that weren't played on the radio. __EOS__ Dean Reed. And, well, I think, Tikay, some of the stuff you were referring to probably didn't have a lot of strings behind it. ",0
,,
242," When you're writing, where's an image like that come from?__EOS__ I think the best place is like when you're a kid of someone reads you picture book. You've got such a vivid imagination of like what's going on, even if there's no pictures. Then you just conjure up all these images in your head that's so unique to you, but they're so vivid.__EOS__  I guess I would leave this world alone. Without you I'm just bones. I guess I would leave this world alone. Without you I'm just bones.__EOS__ When you were growing up and listening to music in London, could you recount for us what the image you had in your mind of Jimi Hendrix was?",2
,,
243," Irregular habits meant regular drinking.__EOS__ Regular drinking. He had a reputation for not showing up at the appointed time, often because he was drunk, sometimes because he had been out partying all night and just didn't feel like getting out of bed. But more important than that, Hammett was, at that time, becoming political active and he was involved in the Screenwriters Guild, a unionization effort of the screenwriters, to force the studios to give the writers credit and money for the work that they did.__EOS__ And he'd also been at least briefly a communist.__EOS__ No. It wasn't briefly - it was a long-term commitment. He was a member of the Communist Party, card-carrying. He apparently joined the party in about 1935, at about the time he was - just before the time he was writing after ""After the Thin Man."" And he remained a member of the party, you know, for the next, what, two decades.",1
,,
244," And I guess there are sometimes that you would just as soon see an account deleted. And I noticed that one company has a feature called Account Incinerator. __EOS__ That's right. Obviously, there are accounts that people create during their life that they dont want handed down to their children or their spouse and they want to be permanently gone. And there's a company called Entrustit, and theyve actually, as part of their service, you can set up certain accounts that will automatically get deleted once you've passed away. __EOS__ You know, weve been talking a lot about pictures, emails and other kinds of content. You know, more and more people have financial information that they have online access to and there are usernames and passwords that could really be valuable. Do you include that kind of information in your digital inventory and your instructions as well? __EOS__ So it's our recommendation that you, of course, realize that anything that has sort of a financial matter should be executed according to your legal will, as we like to call it, that provide a differentiation between your digital estate planning. ",0
,,
245,"  I'd rather not discuss my career. __EOS__  You have a career? News to me. You could actually go somewhere at Price Club. __EOS__  Yeah, like Dennis? Please. __EOS__  He's doing extremely well for himself. ",1
,,
246," No, my father wouldn't talk about it with me. So he - he said I don't want to know about it, I don't want think about it. He did read the story finally and he was - he was more okay with it than my mother. But he, I think, blocked it out to a certain extent. But when I was a kid I think I went into the woods and that's when I really felt when all this stuff - I'd never been abandoned before in any way. __EOS__ How do you write about Phoebe, this character who leaves her son with no explanation, without turning her on the page into some kind of maternal monster, some sort of demon, because it's a fictional character but it's your mother also. __EOS__ Yeah. You know, I didn't see her as a monster. But when my mom read the story recently, she said why did you depict me as a drunk loser? I'm like, I don't think, you know, I depicted you as a drunk loser. I think that in the story the mother is the one who encourages the character Jeremy to express himself creatively and to find his creative voice. And in the end, she tells him the story about this king who kept birds in cages, and he would pierce their eyes and blind them in order - so that they would sing to their full potential. __EOS__ In the book, Jeremy yearns for an explanation or at least an apology. Did you ever get that from your mother, or is that even important? ",3
,,
247," The main thing is my family.__EOS__ You know, ordinarily, we'd hear music like yours and say, where does she live in Brooklyn?__EOS__ Yeah.__EOS__ So that's why I ask why you're in Detroit.",2
,,
248," So, Meg Keene, you've written that DIY is actually traditional.__EOS__ Well, you know, people have been doing it themselves for a very long time. You know, I talked a lot about the idea of doing it together because I think DIY has become this sort of crazy, all-consuming, I-need-to-make-it-all contest. But for time immemorial, it used to be the women of the family. But the women of the family sort of pulled together and pulled off a day that was a celebration of an important moment but not the be-all, end-all of our lives. So I think maybe we were on to something.__EOS__ Let's get another listener. Janice in Nevada, Iowa?__EOS__ It's Nevada, Iowa.",0
,,
249," So from your perspective as an historian, what interests you about Glenn Beck's history lessons on his show and through his new university? __EOS__ Right. Well, Glenn Beck is trying to give you a version of American history that is supposedly hidden. Supposedly, all we historians -left, right and center - have been doing for the past 100 years is to keep true American history from you. And that true American history is what Glenn Beck is teaching. __EOS__ So he referred to Colonel House in what we heard, and he said in order to understand Woodrow Wilson, FDR or Obama, you have to know about this guy. So who is Colonel House? __EOS__ Colonel Edward House was a very close advisor of Woodrow Wilson's, and Beck has been on him for a long time. He wrote novels. He did all kinds of things. But he was a close advisor of Wilson's, and he had a lot to do with the installation, particularly, of the Federal Reserve system in 1913. He was pushing for that, a way to try and put a brake on financial panics, which had ravaged the economy, American economy, the end of the 19th and the beginning of the 20th century. ",3
,,
250," These noble lineages.__EOS__ Noble lineages, or splendid talents somewhere in the background.__EOS__ Diane Johnson. Her memoir is called ""Flyover Life."" It's been a great pleasure speaking with you.__EOS__ Thank you very much, Jacki. It was a great pleasure to be here. Transcript provided by NPR, Copyright NPR.",0
,,
251," You know, I can't resist - we've only just met, but I want to ask you - what are your feelings on this momentous occasion? __EOS__ Well, this is a real change in people's lives. I've often said that when Oprah goes off the air, I think it's going to be like, think about you live in a neighborhood and you have a really great friend across the fence or around the corner, and every day, like, 3 or 4 o'clock they come over and y'all drink coffee and you talk about things that matter to the two of you and that's just a big part of your life. And then one day she says, I'm moving away. I'm sorry, but I'm moving a couple thousand miles away. I won't be here every day. __EOS__ Well, what about for you, though? As I understand it, you are still very dear friends. The two of you are very good, good friends. But is it - your show is going to continue - is it a change for you? Is it a loss for you? Is there some sadness for you? __EOS__ Well, you know, I'm in a unique situation because we are very close friends and we continue to work together. And she's always been my mentor and helper on the Dr. Phil show, and of course that will continue. And then I'm very involved in the Oprah Winfrey Network, doing a number of projects. So I'm one of those lucky few that gets to continue to have her in my life on an ongoing basis. So I feel very fortunate about that. ",3
,,
252,"  The mainstream Western attitude has held that, in its fundamentals, the world will be relatively little changed by China's rise. This is based on three key assumptions  that China's challenge will be primarily economic in nature; that China will in due course become a typical Western nation; and that the international system will remain broadly as it is now with China acquiescing in the status quo and becoming a compliant member of the international community. Each of these assumptions is misconceived. The rise of China will change the world in the most profound ways. __EOS__ Now, Martin Jacques' provocative thesis was influenced, he says, by a lifetime of watching the decline of the British Empire. __EOS__ The history of humanity is the rise and fall of countries and civilizations and so on, so nothing is cast in stone, and the United States has enjoyed actually quite a long period in the sun, ever since certainly 1945. And I think that it's not so much what's wrong with the United States, although I think there are problems, it's more that the last 30 years has seen an extraordinary transformation in China and not only China but other countries, as well, India and so on, but China's the most striking example. And this is the backdrop to the shift in power. __EOS__ When you talk to Chinese experts in China, they say China does not have global ambitions; China has regional ambitions. There is nothing to fear of China. ",0
,,
253," . Well, the intended effects are pretty easy. I mean, the unintended effects, of course, are harder to predict. But, the intended effect, I think, immediately you know you can say it's to destroy you know, ISIS - degrade and destroy ISIS. But I think the real purpose attacking them in Syria is to basically bolster the government in Iraq. Because I think honestly, we're not at the point where intervening - at least, I think the feeling in the White House is that intervening in the middle of the Syrian civil war is going to sway it one way or another. It's just a giant, you know, knife fight.__EOS__ Do you agree with that analysis?__EOS__ It's hard to say. I think that if you look at the available evidence, ISIS - look, it's led by a megalomaniacal psychopath, Abu Bakr al-Baghdadi. He's clearly a murderous individual. They've beheaded and kidnapped a number of Americans. But it's not entirely clear to me that at the moment they pose a threat to the United States or to Europe. And they may. I think they may at some point. And I think that - but my sense is that the danger that ISIS poses is not so much to the United States or to Europe, you know, today or tomorrow, but it's to the region, to the entire Middle East. And I think the fear is is that if the United States doesn't do something to stop ISIS now in Syria and Iraq then, you know, potentially the monarchy in Jordan could collapse and potentially further down the road, Saudi Arabia and potentially Lebanon. So you're talking about - you know, you're talking about potentially, a really calamitous situation that's going to take years and years to fix.__EOS__ So did ISIS in a way give the United States an opportunity to go into Syria? Like, everybody knows now what ISIS is. I'd never heard of the Khorasan group until this week.",3
,,
254," Well, I think it's a time where we're not having those opportunities to tell our story. What David is very optimistic about, but not telling you the truth that, you know, he's one, one person. I'm just one person that can go out to the schools, and the demand and requests from the schools is enormous.__EOS__ David Rice, you cockeyed optimist, you.__EOS__ Well, you know - you know, look. We can go on for hours about this, and Sandra's right. Because in the State of Texas, like in Arizona, there is an outright attack to eliminate Chicano studies, you know, from universities and from classrooms. And we're not in the canon.__EOS__ Maybe one writer here or there, but, you know...",0
,,
255," Do you foresee a time, as we look forward to November, when we might see, you know, an establishment Republican leader, a Tea Party leader, sort of hold a summit in some backyard some way, shake hands and say, like, let's go into November together? I mean, can the Republican Party reconcile with this movement? __EOS__ Oh, I think so. I mean, I think there are going to be real growing pains here. The Republicans started off on the wrong foot with the Tea Party. They didn't really know what to make of them. The Tea Party is incredibly suspicious of anything that reeks of the establishment. __EOS__ To get rid of the Democrats, we have to get rid of the Republicans. __EOS__ Kate Zernike, New York Times reporter. Your new book is ""Boiling Mad  Inside Tea Party America."" You're going to be writing a lot of epilogues to this book. ",0
,,
256," I don't know, it doesn't seem like there's too much to look up to these days. __EOS__ Kaplan is a singer and bass player, and she laments an absence of female role models in pop and rock. She says she longs for the days of Joni Mitchell and Janis Joplin. And that got NPR's Neda Ulaby thinking about American music's newest female icons. __EOS__ Ann Powers, chief pop critic of the Los Angeles Times, thinks Piper Kaplan is exactly wrong. __EOS__ This era is an amazing time for young women musicians, young women songwriters, young women who, to me, seem to be very involved, if not completely in charge of their own careers. ",2
,,
257," They made a point - some would say a fetish - of an almost Victorian femininity.__EOS__ Welcome to another program of the restful music of the all-girl orchestra and choir featuring Evelyn and Her Magic Violin all under the direction of Phil Spitalny.__EOS__ Contrast the restful rhythms of Spitalny with the wild insurrection of Ernestine Davis of the Sweethearts.__EOS__ When it came to music, there was little that was sweet about the Sweethearts. For instance, here are two bands - same music, same period - which do you think sounds more ladylike? Here's band number one.",2
,,
258," This reminds me of something that your narrator says about his father. He says that his father, historically speaking, probably missed being sensitive by eight to 10 years, depending on where you date the new man era.__EOS__ For sure, yeah.__EOS__ How many years did your father miss the new man era by?__EOS__ Oh, I think he missed it by more than eight to 10.",0
,,
259," Basically, until 1996, our law said it was illegal for any company to own more than four stations in one market, and more than 40 radio stations nationally. In 1996, after a push from the Republican Congress - Newt Gingrich's Contract with America Congress - and after approval from President Clinton, we passed the - a telecommunications act that eliminated the national ownership cap all together, and raised the local caps from 4 to 8. __EOS__ Let me go back to an earlier point, though. How were broadcast licenses distributed to begin with, and who did they go to? __EOS__ Well, from a very early moment in this country, from the - in fact, the Communications Act of 1934 that set up the FCC - the nation's large corporations were able to win the rights for broadcast licenses through federal auctions. And they did so in a way that actually squeezed a lot of amateur and independent broadcasters off the airwaves. __EOS__ So Eric, what's going on today in terms of producing new broadcast licenses? Is that even possible? ",0
,,
260," Then later, your family moves to Pakistan, to a refugee camp, first in Quetta and then up in - near Peshawar. And these are - well, million of Afghans were forced into refugee status during the struggle against the Soviet occupation and later during the civil war. __EOS__ Yeah. __EOS__ But this was where you first became exposed to the politics as you tried to go to school to get an education. __EOS__ Yeah. Like, as you said, like many Afghan, millions of Afghan, we also become refugee and because Iran was not - no school for a garrison -Afghan  in Pakistan . And on that time, a refugee  class in high school when I was, I thought to be a social activist. And in the morning I was a student of the school, in the evening I was a teacher for literacy courses. ",0
,,
261," I am. And I'm running slowly. I'm running carefully. I'm running a little smarter, and that's certainly something that all runners need to be aware of - is, if you hurt yourself, you then have to be a little smarter. The single biggest risk factor for a running injury is a prior running injury. So if you've hurt yourself in the past, you probably need to change a little bit about how you run. You may need to warm up a little more. Some people like to switch to trails. There's not actually much science showing that the surface matters, but it definitely matters how many miles you do. And I'm running a fewer miles now, than I was.__EOS__ Now, what about the pros and cons of running when it comes to hips and knees?__EOS__ Well, the science is very encouraging - in terms of both, as a matter of fact. There's a very strong myth that running will ruin your knees. And anyone who has run for as many years as I have has had people say to them, you're going to ruin your knees. Well that, scientifically, is just not true. The science actually shows that if you have a healthy knee to start with, running tends to increase the amount of cartilage that you produce. It prompts the cartilage cells - which are the shock absorbers in your knee - it prompts them to divide and produce more cartilage. So in theory, running is actually healthy for your knees.__EOS__ Let's talk a little bit about running shoes - and walking shoes, too. Some of the common wisdom about running shoes, apparently, is being disproven.",0
,,
262," No.  __EOS__ I'm going to give a short answer. We got rid of slavery by giving people property rights in themselves. What is that slaves do not have? They don't have any property rights at all, and they don't have the first and most fundamental property right, which is the right to sell. __EOS__ But we got rid of slavery for a moral - the moral issue. I'm trying to... __EOS__ Ah, well. Property in yourself, owning yourself - having property rights in yourself is a moral issue, and this is one of Adam Smith's great points. Now, the living wage question is a difficult one. You see, we get into an interesting moral area here between the morality - what are called negative rights and positive rights. ",0
,,
263," on laptops, on tablets, e-readers, lying in bed, flipping your thumb across the screen of the phone. Some people say they prefer that to the experience of reading a heavy, awkward print version of a book.__EOS__ It showed up in a  big box of children's books, all brightly colored, and many beautifully illustrated. But this one stood out. To begin with, this was a new  version of ""The Odyssey"" aimed at kids eight and up. But the artwork  seemed sophisticated  for a children's book. These were not your  standard depictions  of gods and goddesses with chiseled features in flowing gowns.__EOS__ We feel that the book is a nearly perfect technology as it is, and  that's just why it's been around for so long.__EOS__ Karen Lotz is president and publisher of Candlewick Press, which published  ""The Odyssey""  in this country. Candlewick  specializes in children's books, and like all publishing companies, now it releases books in both electronic and traditional book form. But, Lotz says,  some books - ""The Odyssey"" is one of them - seem destined for print. She says that decision is made at the beginning of the process.",0
,,
264," If we listen to funk and disco, drum beat comes in puf-tff-puf, and then also the base line comes in. That's kind of like - it's sort of like that's - it's the same - it's a similar dynamic sort of way of approaching how to write music, but you know, taken in so many different ways.__EOS__ So this new album - and for people who don't know much about the history of electronic dance music or EDM - in some ways, it's almost like a primer. There's guys through some of the sounds we've heard from the past. Let's talk about this track ""Ragga Bomb.""__EOS__ What's the style we're hearing there?__EOS__ Well, it's - I guess it's, you know, the Ragga Twins are sort of like really legendary MCs from London that came, you know, came out of, like, the jungle and drum and bass scene. So I feel like there's a lot elements of jungle and drum and bass, but it's got the halftime beat for the most part. So drum and bass and jungle's generally around, you know, 170 to 175 BPMs with...",2
,,
265," Yeah, we - I mean, I know I do, personally. Some of the stuff that I say on ""License to Ill,"" I say some real dumb stuff. And so, you know, I like the song, and the song's important to, you know, people that like us or listen to us. And so it's important. And so if that's what people want, you know, we should - you know, why not play the songs? But definitely, there's some things I don't like to say. __EOS__ Can you give us an example of something you've changed? __EOS__ I can't think of anything off the top of my head but just some dumb things about, like - I don't even know. __EOS__ It's usually the more sexist ones. ",3
,,
266," I mean, when things got really bad, the song, ""Easy Way Out"" on ""Figure 8"" - you take advantage until you think you're being used. Without an enemy, your anger gets confused. __EOS__  You take advantage until you think you're being used because without an enemy, your anger gets confused. And I got stuck on the side. You know I never chose. But it's all about taking the easy way out for you, I suppose. __EOS__ He passed away a while ago; you've had these photos for a while. Why did you decide to release this book now? __EOS__ People were asking if I was going to ever put them together. Some fans would write to me and ask if they could see more. And it was just really difficult to face and, soÉ_› ",0
,,
267," Yes. __EOS__ Like, for example, breakfast sandwiches. I liked your breakfast sandwiches. I have to say, I thought they were awfully good and... __EOS__ Well, the breakfast sandwiches were selling extremely well, but at the time, there was an aroma in the stores that I felt was kind of diluting the integrity of the coffee romance and the aroma of coffee. So we took the breakfast sandwiches out... __EOS__ You're talking what? You're talking bacon, cheese or something? ",0
,,
268," All right. We're talking with Antonio Damasio, author of ""Self Comes to Mind  Deconstructing the Conscious Brain,"" on SCIENCE FRIDAY from NPR. __EOS__ I would spend the rest of my life inside the brainstem, not necessarily of humans... __EOS__ Hmm. __EOS__ ...but even of other species, to look at the very interesting way in which that fusion of body and brain does take place. ",0
,,
269," Such a great question. I was the first person to ever write about Alzheimer's disease from a first-person point of view. It was in a piece in the New York Times magazine in 1983, and I was in my 20s.  __EOS__ Bombshell.  __EOS__ Yeah, right. Oh, what a day that was. And realizing America's appetite for sex, which is good and healthy, I thought  Hmm, this seems like something that could take this book off in a different direction than my responsibility, which was to talk about a family struggle with a disease that arguably, as I said, was going to be the greatest health care crisis of the 20th and 21st centuries.  __EOS__ What goes in, what stays out.  ",0
,,
270," Thank you. That's - I really would love to come to your Seder. __EOS__ Well, you know, it's... __EOS__ Any time. __EOS__ Thank you. ",0
,,
